card_name;set_name;set_code;card_number;url
"Erikas Myrapla";"Ascended Heroes";"ASC";"001";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Oddish-ASC001?language=3"
"Erikas Duflor";"Ascended Heroes";"ASC";"002";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Gloom-ASC002?language=3"
"Erikas Giflor ex";"Ascended Heroes";"ASC";"003";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Vileplume-ex-ASC003?language=3"
"Erikas Knofensa";"Ascended Heroes";"ASC";"004";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Bellsprout-ASC004?language=3"
"Erikas Ultrigaria";"Ascended Heroes";"ASC";"005";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Weepinbell-ASC005?language=3"
"Erikas Sarzenia";"Ascended Heroes";"ASC";"006";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Victreebel-ASC006?language=3"
"Erikas Tangela";"Ascended Heroes";"ASC";"007";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Tangela-V1-ASC007?language=3"
"Endivie";"Ascended Heroes";"ASC";"008";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Chikorita-ASC008?language=3"
"Lorblatt";"Ascended Heroes";"ASC";"009";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Bayleef-ASC009?language=3"
"Mega Meganie ex";"Ascended Heroes";"ASC";"010";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Meganium-ex-V1-ASC010?language=3"
"Waumpel";"Ascended Heroes";"ASC";"011";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Wurmple-ASC011?language=3"
"Schaloko";"Ascended Heroes";"ASC";"012";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Silcoon-ASC012?language=3"
"Papinella";"Ascended Heroes";"ASC";"013";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Beautifly-V1-ASC013?language=3"
"Panekon";"Ascended Heroes";"ASC";"014";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Cascoon-ASC014?language=3"
"Pudox";"Ascended Heroes";"ASC";"015";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Dustox-V1-ASC015?language=3"
"Knospi";"Ascended Heroes";"ASC";"016";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Budew-V1-ASC016?language=3"
"Mabula";"Ascended Heroes";"ASC";"017";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Grubbin-ASC017?language=3"
"Team Rockets Tarundel";"Ascended Heroes";"ASC";"018";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Tarountula-ASC018?language=3"
"Team Rockets Spinsidias";"Ascended Heroes";"ASC";"019";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Spidops-ASC019?language=3"
"Glumanda";"Ascended Heroes";"ASC";"020";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Charmander-ASC020?language=3"
"Glutexo";"Ascended Heroes";"ASC";"021";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Charmeleon-ASC021?language=3"
"Mega Glurak Y ex";"Ascended Heroes";"ASC";"022";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Charizard-Y-ex-V1-ASC022?language=3"
"Klarins Schneckmag";"Ascended Heroes";"ASC";"023";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ethans-Slugma-ASC023?language=3"
"Klarins Magcargo";"Ascended Heroes";"ASC";"024";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ethans-Magcargo-V1-ASC024?language=3"
"Entei";"Ascended Heroes";"ASC";"025";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Entei-ASC025?language=3"
"Klarins Ho-Oh ex";"Ascended Heroes";"ASC";"026";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ethans-Ho-Oh-ex-ASC026?language=3"
"Camaub";"Ascended Heroes";"ASC";"027";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Numel-V1-ASC027?language=3"
"Camerupt";"Ascended Heroes";"ASC";"028";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Camerupt-ASC028?language=3"
"Floink";"Ascended Heroes";"ASC";"029";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Tepig-ASC029?language=3"
"Ferkokel";"Ascended Heroes";"ASC";"030";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Pignite-ASC030?language=3"
"Mega Flambirex ex";"Ascended Heroes";"ASC";"031";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Emboar-ex-V1-ASC031?language=3"
"Ns Flampion";"Ascended Heroes";"ASC";"032";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Darumaka-ASC032?language=3"
"Ns Flampivian";"Ascended Heroes";"ASC";"033";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Darmanitan-ASC033?language=3"
"Molunk";"Ascended Heroes";"ASC";"034";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Salandit-ASC034?language=3"
"Amfira";"Ascended Heroes";"ASC";"035";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Salazzle-V1-ASC035?language=3"
"Hopplo";"Ascended Heroes";"ASC";"036";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Scorbunny-V1-ASC036?language=3"
"Kickerlo";"Ascended Heroes";"ASC";"037";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Raboot-ASC037?language=3"
"Liberlo ex";"Ascended Heroes";"ASC";"038";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Cinderace-ex-ASC038?language=3"
"Enton";"Ascended Heroes";"ASC";"039";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Psyduck-V1-ASC039?language=3"
"Entoron";"Ascended Heroes";"ASC";"040";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Golduck-ASC040?language=3"
"Karnimani";"Ascended Heroes";"ASC";"041";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Totodile-ASC041?language=3"
"Tyracroc";"Ascended Heroes";"ASC";"042";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Croconaw-ASC042?language=3"
"Mega Impergator ex";"Ascended Heroes";"ASC";"043";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Feraligatr-ex-V1-ASC043?language=3"
"Sniebel";"Ascended Heroes";"ASC";"044";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Sneasel-ASC044?language=3"
"Snibunna";"Ascended Heroes";"ASC";"045";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Weavile-V1-ASC045?language=3"
"Schneppke";"Ascended Heroes";"ASC";"046";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Snorunt-V1-ASC046?language=3"
"Mega Frosdedje ex";"Ascended Heroes";"ASC";"047";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Froslass-ex-V1-ASC047?language=3"
"Regice ex";"Ascended Heroes";"ASC";"048";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Regice-ex-V1-ASC048?language=3"
"Ns Gelatini";"Ascended Heroes";"ASC";"049";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Vanillite-ASC049?language=3"
"Ns Gelatroppo";"Ascended Heroes";"ASC";"050";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Vanillish-ASC050?language=3"
"Ns Gelatwino";"Ascended Heroes";"ASC";"051";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Ns-Vanilluxe-ASC051?language=3"
"Snomnom";"Ascended Heroes";"ASC";"052";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Snom-ASC052?language=3"
"Mottineva";"Ascended Heroes";"ASC";"053";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Frosmoth-ASC053?language=3"
"Polaross";"Ascended Heroes";"ASC";"054";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Glastrier-ASC054?language=3"
"Pikachu";"Ascended Heroes";"ASC";"055";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Pikachu-ASC055?language=3"
"Raichu";"Ascended Heroes";"ASC";"056";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Raichu-ASC056?language=3"
"Pikachu ex";"Ascended Heroes";"ASC";"057";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Pikachu-ex-V1-ASC057?language=3"
"Voltobal ex";"Ascended Heroes";"ASC";"058";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Voltorb-ex-V1-ASC058?language=3"
"Zapplardin";"Ascended Heroes";"ASC";"059";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Tynamo-ASC059?language=3"
"Zapplalek";"Ascended Heroes";"ASC";"060";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Eelektrik-ASC060?language=3"
"Mega Zapplarang ex";"Ascended Heroes";"ASC";"061";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Mega-Eelektross-ex-V1-ASC061?language=3"
"Flunschlik";"Ascended Heroes";"ASC";"062";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Stunfisk-ASC062?language=3"
"Eguana";"Ascended Heroes";"ASC";"063";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Helioptile-ASC063?language=3"
"Elezard";"Ascended Heroes";"ASC";"064";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Heliolisk-V1-ASC064?language=3"
"Akkup";"Ascended Heroes";"ASC";"065";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Charjabug-ASC065?language=3"
"Donarion";"Ascended Heroes";"ASC";"066";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Vikavolt-V1-ASC066?language=3"
"Kapu-Riki";"Ascended Heroes";"ASC";"067";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Tapu-Koko-ASC067?language=3"
"Hops Britzigel ex";"Ascended Heroes";"ASC";"068";"https://www.cardmarket.com/de/Pokemon/Products/Singles/Ascended-Heroes/Hops-Pincurchin-ex-ASC068?language=3"
